drug_name	ind_name	ind_id	NCT	status	phase	DetailedStatus	DrugCUI	DrugString
Vasopressin	Hemophilia A	C0019069		Approved			C1705480	Vasopressina
Interferon beta-1b	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			C0244714	Recombinant interferon beta-1b
Trastuzumab	HER2-positive carcinoma of breast	C1960398		Approved			C5187552	trastuzumab-anns
Trastuzumab	Secondary malignant neoplasm of female breast	C0346993		Approved			C5187552	trastuzumab-anns
Trastuzumab	Secondary malignant neoplasm of stomach	C0686068		Approved			C5187552	trastuzumab-anns
Rituximab	Lymphoma, Non-Hodgkin	C0024305		Approved			C5195655	rituximab-pvvr
Rituximab	Chronic Lymphocytic Leukemia	C0023434		Approved			C5195655	rituximab-pvvr
Rituximab	Rheumatoid Arthritis	C0003873		Approved			C5195655	rituximab-pvvr
Basiliximab	Renal transplant rejection	C0238217		Approved			C0676831	Basiliximab
Ibritumomab tiuxetan	Lymphoma, Follicular	C0024301		Approved			C4256155	mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)
Daptomycin	Right-sided Staphylococcus aureus endocarditis	C1960924		Approved			C0057144	daptomicina
Daptomycin	Sepsis due to Staphylococcus aureus	C2887088		Approved			C0057144	daptomicina
Pegvisomant	Acromegaly	C0001206		Approved			C0913469	Pegvisomant
Pancrelipase	Exocrine pancreatic insufficiency	C0267963		Approved			C0770343	Pancreatic extract pancrelipase
Alemtuzumab	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			C0383429	Alemtuzumab
Alglucerase	Gaucher Disease, Type 1	C1961835		Approved			C0102139	Alglucerase
Laronidase	Mucopolysaccharidosis I	C0023786		Approved			C1302054	Laronidase (genetical recombination)
Cyclosporine	Rheumatoid Arthritis	C0003873		Approved			C0010592	Cyclosporine
Cyclosporine	Dry Eye Syndromes	C0013238		Approved			C0010592	Cyclosporine
Cyclosporine	Keratoconjunctivitis Sicca	C0022575		Approved			C0010592	Cyclosporine
Alefacept	Chronic small plaque psoriasis	C0406317		Approved			C0962603	Alefacept
Efalizumab	Chronic small plaque psoriasis	C0406317		Approved			C1174995	anti-CD11a
Filgrastim	Chemotherapy-induced neutropenia	C1827687		Approved			C4721554	Filgrastim-aafi
Filgrastim	Congenital neutropenia	C0340970		Approved			C4721554	Filgrastim-aafi
Filgrastim	Cyclic neutropenia	C0221023		Approved			C4721554	Filgrastim-aafi
Filgrastim	Chronic idiopathic neutropenia	C2267231		Approved			C4721554	Filgrastim-aafi
Coagulation Factor IX	Hemophilia B	C0008533		Approved			C4512069	nonacog gamma
Becaplermin	Neuropathic diabetic ulcer - foot	C0406526		Approved			C0379135	rhPDGF-BB
Agalsidase beta	Fabry Disease	C0002986		Approved			C0002268	Alpha-galactosidase A
Octreotide	Acromegaly	C0001206		Approved			C0028833	Octreotida
Octreotide	Malignant Carcinoid Syndrome	C0024586		Approved			C0028833	Octreotida
Abarelix	Ischemic priapism	C2711256		Approved			C0965390	Abarelix
Oxytocin	Unspecified Abortion	C0156543		Approved			C0030095	Oxitocina
Oxytocin	Postpartum Hemorrhage	C0032797		Approved			C0030095	Oxitocina
Oxytocin	Incomplete spontaneous abortion	C0000810		Approved			C0030095	Oxitocina
Natalizumab	Multiple Sclerosis	C0026769		Approved			C1172734	Anti-VLA4
Natalizumab	Crohn Disease	C0010346		Approved			C1172734	Anti-VLA4
Enfuvirtide	HIV Infections	C0019693		Approved			C0537439	Enfuvirtida
Palivizumab	Respiratory Syncytial Virus Infections	C0035235		Approved			C0672596	Palivizumab
Daclizumab	Renal transplant rejection	C0238217		Approved			C0663182	Daclizumab beta
Daclizumab	Multiple Sclerosis, Relapsing-Remitting	C0751967		Approved			C0663182	Daclizumab beta
Bevacizumab	Secondary malignant neoplasm of colon	C0346974		Approved			C0796392	Anti-VEGF monoclonal antibody
Bevacizumab	Nonsquamous nonsmall cell neoplasm of lung	C2585890		Approved			C0796392	Anti-VEGF monoclonal antibody
Bevacizumab	Glioblastoma Multiforme	C1621958		Approved			C0796392	Anti-VEGF monoclonal antibody
Bevacizumab	Metastatic Renal Cell Cancer	C0278678		Approved			C0796392	Anti-VEGF monoclonal antibody
Bevacizumab	Cervix carcinoma	C0302592		Approved			C0796392	Anti-VEGF monoclonal antibody
Bevacizumab	Malignant tumor of peritoneum	C0153467		Approved			C0796392	Anti-VEGF monoclonal antibody
Bevacizumab	Malignant epithelial tumor of ovary	C0346161		Approved			C0796392	Anti-VEGF monoclonal antibody
Bevacizumab	Malignant neoplasm of fallopian tube	C0153579		Approved			C0796392	Anti-VEGF monoclonal antibody
Cyanocobalamin	Megaloblastic anemia due to folate deficiency	C0151482		Approved			C0042845	Cianocobalamina
Cyanocobalamin	Anemia, Pernicious	C0002892		Approved			C0042845	Cianocobalamina
Cyanocobalamin	Iron deficiency anemia	C0162316		Approved			C0042845	Cianocobalamina
Cyanocobalamin	Vitamin Deficiency	C1510471		Approved			C0042845	Cianocobalamina
Cyanocobalamin	Vitamin B 12 Deficiency	C0042847		Approved			C0042845	Cianocobalamina
Biotin	Biotin deficiency disease	C2937225		Approved			C0982111	D-(+)-biotin
Choline	Sleeplessness	C0917801		Approved			C0008405	Vitamin J
Vitamin C	Breastfeeding (mother)	C1623040		Approved			C0003968	Acidum ascorbicum
Vitamin C	Vitamin Deficiency	C1510471		Approved			C0003968	Acidum ascorbicum
L-Aspartic Acid	Hypokalemia	C0020621		Approved			C0004015	Acidum asparticum
L-Glutamine	Short Bowel Syndrome	C0036992		Approved			C0017797	Glutamina
Adenosine monophosphate	Pulmonary Cystic Fibrosis	C0392164		Approved			C0001465	Ado5'P
L-Serine	Glaucoma, Open-Angle	C0017612		Approved			C0036720	Serine
L-Serine	Bacterial urinary infection	C0729524		Approved			C0036720	Serine
L-Serine	Tuberculosis, Pulmonary	C0041327		Approved			C0036720	Serine
L-Serine	Acute tuberculosis	C0275959		Approved			C0036720	Serine
L-Serine	Escherichia coli urinary tract infection	C0577708		Approved			C0036720	Serine
Calcitriol	Chronic small plaque psoriasis	C0406317		Approved			C0006674	Calcitriolum
Calcitriol	Hypocalcemia	C0020598		Approved			C0006674	Calcitriolum
Calcitriol	Hypophosphatemia	C0085682		Approved			C0006674	Calcitriolum
Calcitriol	Renal Osteodystrophy	C0035086		Approved			C0006674	Calcitriolum
Calcitriol	Hypoparathyroidism	C0020626		Approved			C0006674	Calcitriolum
Xanthophyll	Age related macular degeneration	C0242383		Approved			C0043328	Lutein
Xanthophyll	Dry Eye Syndromes	C0013238		Approved			C0043328	Lutein
Xanthophyll	Meibomian gland dysfunction	C1275684		Approved			C0043328	Lutein
Succinic acid	Iron deficiency anemia	C0162316		Approved			C0075429	Acidum succinicum
Riboflavin	Mineral deficiency	C0687148		Approved			C4550958	Vitamin Bi
Riboflavin	Vitamin Deficiency	C1510471		Approved			C4550958	Vitamin Bi
Glycine	Rhinorrhea	C1260880		Approved			C0017890	Glicina
Glycine	Coughing	C0010200		Approved			C0017890	Glicina
Glycine	Nasal congestion (finding)	C0027424		Approved			C0017890	Glicina
Glycine	Allergic rhinitis (disorder)	C2607914		Approved			C0017890	Glicina
Glycine	Rhinitis	C0035455		Approved			C0017890	Glicina
Glycine	Common Cold	C0009443		Approved			C0017890	Glicina
Calcidiol	Hypocalcemia	C0020598		Approved			C0006657	Calcifediol
Calcidiol	Renal Osteodystrophy	C0035086		Approved			C0006657	Calcifediol
Calcidiol	Rickets	C0035579		Approved			C0006657	Calcifediol
Calcidiol	Hypophosphatemia	C0085682		Approved			C0006657	Calcifediol
L-Cysteine	Bronchitis	C0006277		Approved			C0010654	L-Cystein
L-Cysteine	Poisoning by acetaminophen	C0237963		Approved			C0010654	L-Cystein
L-Cysteine	Amyloidosis	C0002726		Approved			C0010654	L-Cystein
L-Cysteine	Pulmonary Cystic Fibrosis	C0392164		Approved			C0010654	L-Cystein
L-Cysteine	Bronchiectasis	C0006267		Approved			C0010654	L-Cystein
Thiamine	Vitamin B 12 Deficiency	C0042847		Approved			C0039840	thiamine
Thiamine	Wernicke-Korsakoff Syndrome	C0349464		Approved			C0039840	thiamine
Thiamine	Vitamin Deficiency	C1510471		Approved			C0039840	thiamine
Thiamine	Anemia, Pernicious	C0002892		Approved			C0039840	thiamine
Thiamine	Thiamine Deficiency	C0039841		Approved			C0039840	thiamine
Thiamine	Mineral deficiency	C0687148		Approved			C0039840	thiamine
Ergocalciferol	Vitamin D Deficiency	C0042870		Approved			C0014695	Vitamina D2
Ergocalciferol	Osteomalacia	C0029442		Approved			C0014695	Vitamina D2
Ergocalciferol	Rickets	C0035579		Approved			C0014695	Vitamina D2
Ergocalciferol	Vitamin D-dependent rickets	C0221468		Approved			C0014695	Vitamina D2
Ergocalciferol	Vitamin Deficiency	C1510471		Approved			C0014695	Vitamina D2
Ergocalciferol	Osteoporosis	C0029456		Approved			C0014695	Vitamina D2
Ergocalciferol	Hypocalcemia	C0020598		Approved			C0014695	Vitamina D2
Ergocalciferol	Osteoporosis, Postmenopausal	C0029458		Approved			C0014695	Vitamina D2
Ergocalciferol	Vitamin D-Resistant Rickets, X-Linked	C3536984		Approved			C0014695	Vitamina D2
Ergocalciferol	Hypoparathyroidism	C0020626		Approved			C0014695	Vitamina D2
Folic Acid	Megaloblastic anemia due to folate deficiency	C0151482		Approved			C0016410	Folic acid
Folic Acid	Mineral deficiency	C0687148		Approved			C0016410	Folic acid
Folic Acid	Breastfeeding (mother)	C1623040		Approved			C0016410	Folic acid
Folic Acid	Iron deficiency anemia	C0162316		Approved			C0016410	Folic acid
Folic Acid	Folic Acid Deficiency	C0016412		Approved			C0016410	Folic acid
Folic Acid	Vitamin Deficiency	C1510471		Approved			C0016410	Folic acid
Icosapent	Breastfeeding (mother)	C1623040		Approved			C0000545	(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-eicosapentaenoic acid
Icosapent	Hypertriglyceridemia	C0020557		Approved			C0000545	(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-eicosapentaenoic acid
Vitamin A	Mineral deficiency	C0687148		Approved			C0087161	(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol
Vitamin A	Vitamin Deficiency	C1510471		Approved			C0087161	(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol
Vitamin A	Vitamin A Deficiency	C0042842		Approved			C0087161	(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol
Vitamin E	Vitamin E Deficiency	C0042875		Approved			C0969677	alpha-tocopherol
Pyridoxine	Breastfeeding (mother)	C1623040		Approved			C0034272	5-hydroxy-6-methyl-3,4-pyridinedimethanol
Pyridoxine	EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508		Approved			C0034272	5-hydroxy-6-methyl-3,4-pyridinedimethanol
Pyridoxine	Vitamin B 6 Deficiency	C0936215		Approved			C0034272	5-hydroxy-6-methyl-3,4-pyridinedimethanol
Lipoic Acid	Diabetic peripheral neuropathy	C0740447		Approved			C0023791	Alpha lipoic acid
Cholecalciferol	Osteoporosis, Postmenopausal	C0029458		Approved			C0008318	Colecalciferolum
Cholecalciferol	Hypoparathyroidism	C0020626		Approved			C0008318	Colecalciferolum
Cholecalciferol	Rickets	C0035579		Approved			C0008318	Colecalciferolum
Cholecalciferol	Hypocalcemia	C0020598		Approved			C0008318	Colecalciferolum
Cholecalciferol	Vitamin Deficiency	C1510471		Approved			C0008318	Colecalciferolum
Cholecalciferol	Osteomalacia	C0029442		Approved			C0008318	Colecalciferolum
Cholecalciferol	Vitamin D-dependent rickets	C0221468		Approved			C0008318	Colecalciferolum
Cholecalciferol	Osteoporosis	C0029456		Approved			C0008318	Colecalciferolum
Pravastatin	Cerebrovascular accident	C0038454		Approved			C0085542	Pravastatine
Pravastatin	Hyperlipoproteinemia Type III	C0020479		Approved			C0085542	Pravastatine
Pravastatin	Familial hypercholesterolemia - heterozygous	C0342882		Approved			C0085542	Pravastatine
Pravastatin	Hypercholesterolemia	C0020443		Approved			C0085542	Pravastatine
Pravastatin	Hypertriglyceridemia	C0020557		Approved			C0085542	Pravastatine
Pravastatin	Hyperlipidemia, Familial Combined	C0020474		Approved			C0085542	Pravastatine
Pravastatin	Arteriosclerosis	C0003850		Approved			C0085542	Pravastatine
Fluvoxamine	Obsessive-Compulsive Disorder	C0028768		Approved			C0085228	Fluvoxaminum
Fluvoxamine	Phobia, Social	C0031572		Approved			C0085228	Fluvoxaminum
Valsartan	Chronic heart failure	C0264716		Approved			C0216784	N-(P-(O-1H-Tetrazol-5-ylphenyl)benzyl)-N-valeryl-L-valine
Valsartan	Hypertensive disease	C0020538		Approved			C0216784	N-(P-(O-1H-Tetrazol-5-ylphenyl)benzyl)-N-valeryl-L-valine
Ramipril	Cerebrovascular accident	C0038454		Approved			C0072973	(2S-(1(R*(R*)),2alpha,3abeta,6abeta))-1-(2-((1-(Ethoxycarbonyl)-3-phenylpropyl)amino)-1-oxopropyl)octahydrocyclopenta(b)pyrrole-2-carboxylic acid
Ramipril	Chronic heart failure	C0264716		Approved			C0072973	(2S-(1(R*(R*)),2alpha,3abeta,6abeta))-1-(2-((1-(Ethoxycarbonyl)-3-phenylpropyl)amino)-1-oxopropyl)octahydrocyclopenta(b)pyrrole-2-carboxylic acid
Ramipril	Hypertensive disease	C0020538		Approved			C0072973	(2S-(1(R*(R*)),2alpha,3abeta,6abeta))-1-(2-((1-(Ethoxycarbonyl)-3-phenylpropyl)amino)-1-oxopropyl)octahydrocyclopenta(b)pyrrole-2-carboxylic acid
Masoprocol	Actinic keratosis	C0022602		Approved			C0733397	masoprocol
Flunisolide	Allergic rhinitis (disorder)	C2607914		Approved			C0060501	Flunisolidum
Flunisolide	Asthma	C0004096		Approved			C0060501	Flunisolidum
Baclofen	Muscle spasticity of spinal origin	C1562430		Approved			C0004609	beta-(p-Chlorophenyl)-gamma-aminobutyric acid
Amphetamine	Obesity	C0028754		Approved			C0002658	Amfetaminum
Amphetamine	Attention deficit hyperactivity disorder	C1263846		Approved			C0002658	Amfetaminum
Amphetamine	Narcolepsy	C0027404		Approved			C0002658	Amfetaminum
Nicotine	Pellagra	C0030783		Approved			C0028040	Nikotin
Nicotine	Nicotine Dependence	C0028043		Approved			C0028040	Nikotin
Lorazepam	Lennox-Gastaut syndrome	C0238111		Approved			C0024002	Loracepam
Lorazepam	Absence Epilepsy	C0014553		Approved			C0024002	Loracepam
Lorazepam	Epilepsies, Myoclonic	C0014550		Approved			C0024002	Loracepam
Lorazepam	Epileptic drop attack	C0270846		Approved			C0024002	Loracepam
Lorazepam	Anxiety	C0003467		Approved			C0024002	Loracepam
Lorazepam	Status Epilepticus	C0038220		Approved			C0024002	Loracepam
Lorazepam	Panic Disorder	C0030319		Approved			C0024002	Loracepam
Esmolol	Atrial Fibrillation	C0004238		Approved			C0116569	(±)-esmolol
Esmolol	Supraventricular tachycardia	C0039240		Approved			C0116569	(±)-esmolol
Esmolol	Perioperative hypertension	C3661921		Approved			C0116569	(±)-esmolol
Bortezomib	Multiple Myeloma	C0026764		Approved			C1176309	[(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid
Bortezomib	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse	C0334634		Approved			C1176309	[(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid
Ethchlorvynol	Sleeplessness	C0917801		Approved			C0014987	etclorvinol
Carbidopa	Parkinson Disease	C0030567		Approved			C1881339	Carbidopa (anhydrous)
Carbidopa	Parkinsonian Disorders	C0242422		Approved			C1881339	Carbidopa (anhydrous)
Carbidopa	Parkinson Disease, Postencephalitic	C0030568		Approved			C1881339	Carbidopa (anhydrous)
Phentermine	Hypotension	C0020649		Approved			C0031447	Fentermina
Phentermine	Obesity	C0028754		Approved			C0031447	Fentermina
Tramadol	Chronic pain	C0150055		Approved			C0040610	Tramadolum
Tramadol	Degenerative polyarthritis	C0029408		Approved			C0040610	Tramadolum
Tramadol	Pain	C0030193		Approved			C0040610	Tramadolum
Vidarabine	Keratitis, Dendritic	C0022570		Approved			C0042646	Vidarabinum
Vidarabine	Keratitis, Herpetic	C0019357		Approved			C0042646	Vidarabinum
Betaxolol	Hypertensive disease	C0020538		Approved			C0005320	1-(isopropylamino)-3-[p-(cyclopropylmethoxyethyl)phenoxy]-2-propanol
Betaxolol	Ocular Hypertension	C0028840		Approved			C0005320	1-(isopropylamino)-3-[p-(cyclopropylmethoxyethyl)phenoxy]-2-propanol
Betaxolol	Glaucoma, Open-Angle	C0017612		Approved			C0005320	1-(isopropylamino)-3-[p-(cyclopropylmethoxyethyl)phenoxy]-2-propanol
Fluconazole	Oropharyngeal candidiasis	C0919659		Approved			C0016277	Fluconazol
Fluconazole	Septicemia candida	C0349009		Approved			C0016277	Fluconazol
Fluconazole	Candidiasis, Vulvovaginal	C0700345		Approved			C0016277	Fluconazol
Fluconazole	Oral candidiasis	C0006849		Approved			C0016277	Fluconazol
Fluconazole	Mucocutaneous candidiasis	C0006848		Approved			C0016277	Fluconazol
Fluconazole	Candidiasis of the esophagus	C0239295		Approved			C0016277	Fluconazol
Fluconazole	Meningitis, Cryptococcal	C0085436		Approved			C0016277	Fluconazol
Fluconazole	Candidemia	C0877445		Approved			C0016277	Fluconazol
Fluconazole	Systemic candidiasis	C0153252		Approved			C0016277	Fluconazol
Oseltamivir	Influenza	C0021400		Approved			C0874161	Oséltamivir
Erythromycin	Diphtheria	C0012546		Approved			C0014806	Erythromycinum
Erythromycin	Ophthalmia Neonatorum	C0029076		Approved			C0014806	Erythromycinum
Erythromycin	Infective otitis media	C0729586		Approved			C0014806	Erythromycinum
Erythromycin	Acute bacterial sinusitis	C0275556		Approved			C0014806	Erythromycinum
Erythromycin	Acute gonococcal endometritis	C0153196		Approved			C0014806	Erythromycinum
Erythromycin	Neonatal pneumonia	C0339968		Approved			C0014806	Erythromycinum
Erythromycin	Pneumonia, Bacterial	C0004626		Approved			C0014806	Erythromycinum
Erythromycin	Chlamydial urethritis	C1278807		Approved			C0014806	Erythromycinum
Erythromycin	Gonorrhea of rectum	C0275665		Approved			C0014806	Erythromycinum
Erythromycin	Pneumococcal pharyngitis	C0275761		Approved			C0014806	Erythromycinum
Erythromycin	Acute gonococcal urethritis	C0275652		Approved			C0014806	Erythromycinum
Erythromycin	Staphylococcus aureus infection	C1318973		Approved			C0014806	Erythromycinum
Erythromycin	Legionnaires' Disease	C0023241		Approved			C0014806	Erythromycinum
Erythromycin	non-gonococcal urethritis (NGU)	C1112709		Approved			C0014806	Erythromycinum
Erythromycin	Streptococcus pyogenes infection	C0554628		Approved			C0014806	Erythromycinum
Erythromycin	Listeriosis	C0023860		Approved			C0014806	Erythromycinum
Erythromycin	Inclusion conjunctivitis	C0009770		Approved			C0014806	Erythromycinum
Erythromycin	Chlamydial cervicitis	C0341834		Approved			C0014806	Erythromycinum
Erythromycin	Pertussis	C0043167		Approved			C0014806	Erythromycinum
Erythromycin	Erythrasma	C0014752		Approved			C0014806	Erythromycinum
Erythromycin	Infection of skin AND/OR subcutaneous tissue	C0178299		Approved			C0014806	Erythromycinum
Erythromycin	Streptococcal pneumonia	C0155862		Approved			C0014806	Erythromycinum
